교량명,중계기ID,센서ID,위치명,파일명,온도값(℃),측정값(mm),변위값(mm),수집시간
탄천2고가교,13,103,P9,Img_103_20200917_230100.jpg,,,,2020-09-17 23
탄천2고가교,13,103,P9,Img_103_20200917_220100.jpg,22.22,,,2020-09-17 22
탄천2고가교,13,103,P9,Img_103_20200917_210100.jpg,22.62,,,2020-09-17 21
탄천2고가교,13,103,P9,Img_103_20200917_200100.jpg,23.09,,,2020-09-17 20
탄천2고가교,13,103,P9,Img_103_20200917_190100.jpg,23.42,,,2020-09-17 19
탄천2고가교,13,103,P9,Img_103_20200917_180100.jpg,23.55,,,2020-09-17 18
탄천2고가교,13,103,P9,Img_103_20200917_170100.jpg,23.99,,,2020-09-17 17
탄천2고가교,13,103,P9,Img_103_20200917_160100.jpg,24.24,,,2020-09-17 16
탄천2고가교,13,103,P9,Img_103_20200917_150100.jpg,24.25,,,2020-09-17 15
탄천2고가교,13,103,P9,Img_103_20200917_140100.jpg,24.08,,,2020-09-17 14
탄천2고가교,13,103,P9,Img_103_20200917_130100.jpg,23.66,,,2020-09-17 13
탄천2고가교,13,103,P9,Img_103_20200917_120100.jpg,23.51,,,2020-09-17 12
탄천2고가교,13,103,P9,Img_103_20200917_110100.jpg,22.93,,,2020-09-17 11
탄천2고가교,13,103,P9,Img_103_20200917_100100.jpg,22.76,,,2020-09-17 10
탄천2고가교,13,103,P9,Img_103_20200917_090100.jpg,22.4,,,2020-09-17 09
탄천2고가교,13,103,P9,Img_103_20200917_080100.jpg,22.13,,,2020-09-17 08
탄천2고가교,13,103,P9,Img_103_20200917_070100.jpg,21.61,,,2020-09-17 07
탄천2고가교,13,103,P9,Img_103_20200917_060100.jpg,21.48,,,2020-09-17 06
탄천2고가교,13,103,P9,Img_103_20200917_050100.jpg,21.56,,,2020-09-17 05
탄천2고가교,13,103,P9,Img_103_20200917_040100.jpg,21.7,,,2020-09-17 04
탄천2고가교,13,103,P9,Img_103_20200917_030100.jpg,21.91,,,2020-09-17 03
탄천2고가교,13,103,P9,Img_103_20200917_020100.jpg,22.18,,,2020-09-17 02
탄천2고가교,13,103,P9,Img_103_20200917_010100.jpg,22.31,,,2020-09-17 01
탄천2고가교,13,103,P9,Img_103_20200917_000100.jpg,22.35,,,2020-09-17 00
탄천2고가교,13,103,P9,Img_103_20200916_230100.jpg,22.34,,,2020-09-16 23
탄천2고가교,13,103,P9,Img_103_20200916_220100.jpg,22.6,,,2020-09-16 22
탄천2고가교,13,103,P9,Img_103_20200916_210100.jpg,22.86,,,2020-09-16 21
탄천2고가교,13,103,P9,Img_103_20200916_200100.jpg,22.96,,,2020-09-16 20
탄천2고가교,13,103,P9,Img_103_20200916_190100.jpg,22.86,-3.18,-3.18,2020-09-16 19
탄천2고가교,13,103,P9,Img_103_20200916_180100.jpg,22.98,-3.15,-3.15,2020-09-16 18
탄천2고가교,13,103,P9,Img_103_20200916_170100.jpg,23.45,-3.12,-3.12,2020-09-16 17
탄천2고가교,13,103,P9,Img_103_20200916_160100.jpg,23.87,-3.12,-3.12,2020-09-16 16
탄천2고가교,13,103,P9,Img_103_20200916_150100.jpg,24.22,-3.06,-3.06,2020-09-16 15
탄천2고가교,13,103,P9,Img_103_20200916_140100.jpg,24.5,-3.06,-3.06,2020-09-16 14
탄천2고가교,13,103,P9,Img_103_20200916_130100.jpg,24.63,-3.15,-3.15,2020-09-16 13
탄천2고가교,13,103,P9,Img_103_20200916_120100.jpg,24.28,-3.15,-3.15,2020-09-16 12
탄천2고가교,13,103,P9,Img_103_20200916_110100.jpg,23.6,-3.15,-3.15,2020-09-16 11
탄천2고가교,13,103,P9,Img_103_20200916_100100.jpg,23.14,-3.15,-3.15,2020-09-16 10
탄천2고가교,13,103,P9,Img_103_20200916_090100.jpg,22.81,-3.15,-3.15,2020-09-16 09
탄천2고가교,13,103,P9,Img_103_20200916_080100.jpg,22.6,-3.15,-3.15,2020-09-16 08
탄천2고가교,13,103,P9,Img_103_20200916_070100.jpg,22.46,-3.09,-3.09,2020-09-16 07
탄천2고가교,13,103,P9,Img_103_20200916_060100.jpg,22.56,-3.02,-3.02,2020-09-16 06
탄천2고가교,13,103,P9,Img_103_20200916_050100.jpg,22.82,-3.02,-3.02,2020-09-16 05
탄천2고가교,13,103,P9,Img_103_20200916_040100.jpg,23.17,-2.9,-2.9,2020-09-16 04
탄천2고가교,13,103,P9,Img_103_20200916_030100.jpg,23.5,-2.9,-2.9,2020-09-16 03
탄천2고가교,13,103,P9,Img_103_20200916_020100.jpg,23.8,-2.84,-2.84,2020-09-16 02
탄천2고가교,13,103,P9,Img_103_20200916_010100.jpg,23.96,-2.81,-2.81,2020-09-16 01
탄천2고가교,13,103,P9,Img_103_20200916_000100.jpg,24.09,-2.84,-2.84,2020-09-16 00
탄천2고가교,13,103,P9,Img_103_20200915_230100.jpg,24.37,,,2020-09-15 23
탄천2고가교,13,103,P9,Img_103_20200915_220100.jpg,24.88,,,2020-09-15 22
탄천2고가교,13,103,P9,Img_103_20200915_210100.jpg,25.3,,,2020-09-15 21
탄천2고가교,13,103,P9,Img_103_20200915_200100.jpg,25.36,,,2020-09-15 20
탄천2고가교,13,103,P9,Img_103_20200915_190100.jpg,25.75,,,2020-09-15 19
탄천2고가교,13,103,P9,Img_103_20200915_180100.jpg,26.58,,,2020-09-15 18
