Sensor ID,Sensor Type,Pier ,Slab No,Block,Sensor Direction,Sensor Location,Displacement Direction,Sensor Installation Year
1,sound,P45,45,101,S,E,Forward,2020
2,Img,P45,45,101,E,E,Backward,2020
3,Tmp,P45,45,101,S,E,Forward,2020
4,sound,P45,45,101,E,S,Forward,2020
5,Img,P45,45,101,E,S,Forward,2020
6,Tmp,P45,45,101,S,E,Forward,2020
7,sound,P47,47,102,E,S,Forward,2020
8,Img,P47,47,102,E,S,Forward,2020
9,Tmp,P47,47,102,E,S,Forward,2020
10,sound,P45,45,101,E,S,Forward,2020
11,Img,P47,47,102,E,S,Forward,2020
12,Tmp,P47,47,102,E,S,Forward,2020
13,sound,P47,47,102,E,S,Forward,2020
14,Img,P47,47,102,W,S,Backward,2020
15,Tmp,P47,47,102,E,S,Forward,2020
16,sound,PH2,H2,103,E,S,Forward,2020
17,Img,PH2,H2,103,E,S,Forward,2020
18,Tmp,PH2,H2,103,E,S,Forward,2020
19,sound,PH2,H2,103,E,S,Forward,2020
20,Img,PH2,H2,103,E,S,Forward,2020
21,Tmp,PH2,H2,103,E,S,Forward,2020
22,sound,PH2,H2,103,E,S,Forward,2020
23,Img,PH2,H2,103,W,S,Backward,2020
24,Tmp,PH2,H2,103,E,S,Forward,2020
25,sound,PH6,H6,104,E,S,Forward,2020
26,Img,PH6,H6,104,S,S,FALSE,2020
27,Tmp,PH6,H6,104,E,S,Forward,2020
28,sound,PH6,H6,104,E,S,Forward,2020
29,Img,PH6,H6,104,E,S,Forward,2020
30,Tmp,PH6,H6,104,E,S,Forward,2020
31,sound,PH6,H6,104,E,S,Forward,2020
32,Img,PH6,H6,104,E,E,Backward,2020
33,Tmp,PH6,H6,104,S,E,Forward,2020
34,sound,P24,24,5,E,S,Forward,2020
35,Img,P24,24,5,E,S,Forward,2020
36,Tmp,P24,24,5,E,S,Forward,2020
37,sound,P24,24,5,E,S,Forward,2020
38,Img,P24,24,5,S,S,FALSE,2020
39,Tmp,P24,24,5,E,S,Forward,2020
40,sound,P24,24,5,E,S,Forward,2020
41,Img,P24,24,5,W,S,Backward,2020
42,Tmp,P24,24,5,E,S,Forward,2020
43,sound,P27,27,6,E,S,Forward,2020
